sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
975,C,South Goa,Salcete,Margao,HOTS000768,Hotel City Pride,high,51,5.700439718141093,0.6355949941708375,3,1.0,2,2,0.6666666666666666,0.7709,1.0,0.7709,Priority
3365,B,North Goa,Bardez,Calangute,HOTN003590,W S Beach Resort And Spa,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
4611,C,North Goa,Bardez,Calangute,HOTN007343,50,low,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
1597,C,North Goa,Bardez,Calangute,HOTN002521,The Ocean Park Resort,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
543,B,North Goa,Bardez,Calangute,HOTN002100,The Avenue Calangute,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
138,B,North Goa,Bardez,Calangute,HOTN002099,The Avenue Calangute,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
7243,C,North Goa,Bardez,Nagoa,HOTN003084,Citadines Arpora Nagoa Goa,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
843,B,North Goa,Bardez,Arpora,HOTN001692,Resort Lagoa Azul,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
4583,B,North Goa,Bardez,Calangute,HOTN002457,Resort De Balneaire,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
7628,A,North Goa,Bardez,Candolim,HOTN000245,Dealturas Resort,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
6953,A,North Goa,Bardez,Calangute,HOTN000582,La Calypso,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
7834,C,North Goa,Bardez,Arpora,HOTN006376,River Deck Baga,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
7904,B,North Goa,Bardez,Arpora,HOTN000577,Abalone Resorts Pvt Ltd,high,50,5.672425341971496,0.632471411054688,2,0.6666666666666666,1,3,1.0,0.7363,1.0,0.7363,Priority
7180,B,North Goa,Bardez,Anjuna,HOTN006507,49,low,49,5.643856189774724,0.6292859708041427,2,0.6666666666666666,1,3,1.0,0.735,1.0,0.735,Priority
7047,B,North Goa,Bardez,Arpora,HOTN001491,Aromiaa Villas,high,49,5.643856189774724,0.6292859708041427,2,0.6666666666666666,1,3,1.0,0.735,1.0,0.735,Priority
4945,B,North Goa,Bardez,Calangute,HOTN001201,Casa De Goa Boutique Resort,high,49,5.643856189774724,0.6292859708041427,2,0.6666666666666666,1,3,1.0,0.735,1.0,0.735,Priority
2026,B,North Goa,Bardez,Calangute,HOTN001738,Azzure By Spree Hotels Goa,high,49,5.643856189774724,0.6292859708041427,2,0.6666666666666666,1,3,1.0,0.735,1.0,0.735,Priority
6562,B,North Goa,Bardez,Candolim,HOTN001230,Hotel Citrus Prime,high,48,5.614709844115208,0.6260361738910017,2,0.6666666666666666,1,3,1.0,0.7337,1.0,0.7337,Priority
3516,B,North Goa,Bardez,Calangute,HOTN002359,Bloom Room,high,48,5.614709844115208,0.6260361738910017,2,0.6666666666666666,1,3,1.0,0.7337,1.0,0.7337,Priority
